datetime,Date,TimeStamp,Open,High,Low,Close,Volume,average0,moving_average150,price_ref,Orders,Amounts,Modulators
2018-09-18 20:00:00,2018-09-18 20:00:00,1537315200000.0,6336.39,6517.7,6123.0,6391.89,39044.080082,6364.14,,,2.0,0.0,0.0
2018-09-19 20:00:00,2018-09-19 20:00:00,1537401600000.0,6392.0,6540.0,6325.0,6492.0,25189.024728,6442.0,,,2.0,0.0,0.0
2018-09-20 20:00:00,2018-09-20 20:00:00,1537488000000.0,6492.0,6784.86,6491.0,6759.02,51779.343463,6625.51,,,2.0,0.0,0.0
2018-09-21 20:00:00,2018-09-21 20:00:00,1537574400000.0,6759.01,6839.03,6627.0,6723.05,29349.690667,6741.030000000001,,,2.0,0.0,0.0
2018-09-22 20:00:00,2018-09-22 20:00:00,1537660800000.0,6723.05,6788.23,6661.75,6708.0,30286.229773,6715.525,,,2.0,0.0,0.0
2018-09-23 20:00:00,2018-09-23 20:00:00,1537747200000.0,6706.81,6730.0,6557.0,6581.39,35305.73991,6644.1,,,2.0,0.0,0.0
2018-09-24 20:00:00,2018-09-24 20:00:00,1537833600000.0,6581.42,6584.01,6325.02,6447.54,40301.029452,6514.48,,,2.0,0.0,0.0
2018-09-25 20:00:00,2018-09-25 20:00:00,1537920000000.0,6445.11,6557.99,6379.7,6465.12,33484.54207,6455.115,,,2.0,0.0,0.0
2018-09-26 20:00:00,2018-09-26 20:00:00,1538006400000.0,6467.84,6750.0,6434.0,6689.13,33087.428297,6578.485000000001,,,2.0,0.0,0.0
2018-09-27 20:00:00,2018-09-27 20:00:00,1538092800000.0,6689.12,6814.8,6540.88,6634.58,42399.448523,6661.85,,,2.0,0.0,0.0
2018-09-28 20:00:00,2018-09-28 20:00:00,1538179200000.0,6634.58,6636.0,6464.57,6596.38,30255.9597,6615.48,,,2.0,0.0,0.0
2018-09-29 20:00:00,2018-09-29 20:00:00,1538265600000.0,6597.66,6662.0,6533.0,6626.57,27764.724519,6612.115,,,2.0,0.0,0.0
2018-09-30 20:00:00,2018-09-30 20:00:00,1538352000000.0,6626.57,6667.09,6510.0,6611.61,20621.506894,6619.09,,,2.0,0.0,0.0
2018-10-01 20:00:00,2018-10-01 20:00:00,1538438400000.0,6610.0,6640.0,6494.0,6525.79,28245.810088,6567.895,,,2.0,0.0,0.0
2018-10-02 20:00:00,2018-10-02 20:00:00,1538524800000.0,6525.79,6549.0,6430.0,6510.0,28451.969138,6517.895,,,2.0,0.0,0.0
2018-10-03 20:00:00,2018-10-03 20:00:00,1538611200000.0,6510.01,6643.46,6505.09,6593.79,20074.300818,6551.9,,,2.0,0.0,0.0
